persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,split,distractor_persona_item,distractor_category
Invested in romantic relationship content,romantic couple relationships,0.78,implicit_positive,423110,1775540328,"05:38, 04/07/2026","[""#loveofmylife""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.72,implicit_positive,423110,1775540328,"05:38, 04/07/2026","[""#loveofmylife""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.66,implicit_positive,423110,1775540328,"05:38, 04/07/2026","[""#loveofmylife""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.65,implicit_positive,423110,1775540328,"05:38, 04/07/2026","[""#loveofmylife""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.81,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#couplegoals"", ""#relationshipgoals""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.75,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#couplegoals"", ""#relationshipgoals""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.69,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#couplegoals"", ""#relationshipgoals""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.68,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#couplegoals"", ""#relationshipgoals""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.83,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#comedy"", ""#funny""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.81,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#comedy"", ""#funny""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.65,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#comedy"", ""#funny""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.63,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#comedy"", ""#funny""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Spends time scrolling trending short-form video content,viral and trending social content,0.72,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#viralreels""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Spends time scrolling trending short-form video content"", ""type"": ""similar""}]",neutral,train,,
"Active across Instagram Reels, Threads, and similar platforms",viral and trending social content,0.68,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#viralreels""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Active across Instagram Reels, Threads, and similar platforms"", ""type"": ""similar""}]",neutral,train,,
Centers family togetherness as a core value,family bonding and togetherness,0.8,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#familylife""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Centers family togetherness as a core value"", ""type"": ""similar""}]",stereotypical,train,,
Enjoys wholesome family-activity content,family bonding and togetherness,0.72,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#familylife""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys wholesome family-activity content"", ""type"": ""similar""}]",neutral,train,,
Aspires to strong family traditions and shared routines,family bonding and togetherness,0.68,implicit_positive,556970,1775540331,"05:38, 04/07/2026","[""#familylife""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Aspires to strong family traditions and shared routines"", ""type"": ""similar""}]",stereotypical,train,,
Values close female friendships and squad bonding,friendship and squad dynamics,0.68,implicit_positive,652992,1775540428,"05:40, 04/07/2026","[""#friendshipgoals""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Values close female friendships and squad bonding"", ""type"": ""similar""}]",neutral,train,,
Engages with content celebrating friendship milestones,friendship and squad dynamics,0.62,implicit_positive,652992,1775540428,"05:40, 04/07/2026","[""#friendshipgoals""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Engages with content celebrating friendship milestones"", ""type"": ""similar""}]",neutral,train,,
"Enjoys wholesome, heartwarming feel-good content",heartwarming and feel-good content,0.72,implicit_positive,652992,1775540428,"05:40, 04/07/2026","[""#joyfulmoments""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Enjoys wholesome, heartwarming feel-good content"", ""type"": ""similar""}]",neutral,train,,
Responds emotionally to touching or inspirational stories,heartwarming and feel-good content,0.58,implicit_positive,652992,1775540428,"05:40, 04/07/2026","[""#joyfulmoments""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Responds emotionally to touching or inspirational stories"", ""type"": ""similar""}]",neutral,train,,
Enjoys dance content and casual music videos,dance and dance-music content,0.65,implicit_positive,652992,1775540428,"05:40, 04/07/2026","[""#dancethenightaway""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Enjoys dance content and casual music videos"", ""type"": ""similar""}]",neutral,train,,
"Likely dances at home, at parties, or with family",dance and dance-music content,0.55,implicit_positive,652992,1775540428,"05:40, 04/07/2026","[""#dancethenightaway""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Likely dances at home, at parties, or with family"", ""type"": ""similar""}]",neutral,train,,
Invested in self-care routines and self-expression,self-care and personal wellness,0.68,implicit_positive,652992,1775540428,"05:40, 04/07/2026","[""#positivevibesonly""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Invested in self-care routines and self-expression"", ""type"": ""similar""}]",neutral,train,,
Believes confidence and positivity are important daily practices,self-care and personal wellness,0.62,implicit_positive,652992,1775540428,"05:40, 04/07/2026","[""#positivevibesonly""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Believes confidence and positivity are important daily practices"", ""type"": ""similar""}]",neutral,train,,
Looks for motivational and personal-growth content,self-care and personal wellness,0.6,implicit_positive,652992,1775540428,"05:40, 04/07/2026","[""#positivevibesonly""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Looks for motivational and personal-growth content"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.85,implicit_positive,579624,1775540454,"05:40, 04/07/2026","[""#comedygold"", ""#funny"", ""#humor""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.83,implicit_positive,579624,1775540454,"05:40, 04/07/2026","[""#comedygold"", ""#funny"", ""#humor""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.67,implicit_positive,579624,1775540454,"05:40, 04/07/2026","[""#comedygold"", ""#funny"", ""#humor""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.65,implicit_positive,579624,1775540454,"05:40, 04/07/2026","[""#comedygold"", ""#funny"", ""#humor""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Gravitates toward content that mirrors everyday life experiences,relatable everyday content,0.72,implicit_positive,579624,1775540454,"05:40, 04/07/2026","[""#relatable""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Gravitates toward content that mirrors everyday life experiences"", ""type"": ""similar""}]",neutral,train,,
Finds comfort in 'that's so me' style posts,relatable everyday content,0.65,implicit_positive,579624,1775540454,"05:40, 04/07/2026","[""#relatable""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Finds comfort in 'that's so me' style posts"", ""type"": ""similar""}]",neutral,train,,
Gravitates toward content that mirrors everyday life experiences,relatable everyday content,0.72,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#relatable""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Gravitates toward content that mirrors everyday life experiences"", ""type"": ""similar""}]",neutral,train,,
Finds comfort in 'that's so me' style posts,relatable everyday content,0.65,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#relatable""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Finds comfort in 'that's so me' style posts"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.8,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#humor""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.78,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#humor""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.62,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#humor""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.6,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#humor""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Enjoys beauty and nail-art content,"beauty, nails, and personal style",0.7,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#lifestyle""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Enjoys beauty and nail-art content"", ""type"": ""similar""}]",stereotypical,train,,
Keeps up with fashion and personal style inspiration,"beauty, nails, and personal style",0.6,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#lifestyle""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Keeps up with fashion and personal style inspiration"", ""type"": ""similar""}]",neutral,train,,
"Values presenting a polished, put-together look","beauty, nails, and personal style",0.58,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#lifestyle""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Values presenting a polished, put-together look"", ""type"": ""similar""}]",neutral,train,,
Values a sense of local community and belonging,community and local belonging,0.58,implicit_positive,267203,1775540478,"05:41, 04/07/2026","[""#gamingcommunity""]",Chatbot (professional emails): liked,1.0,similar,"[{""persona_item"": ""Values a sense of local community and belonging"", ""type"": ""similar""}]",neutral,train,,
Gravitates toward content that mirrors everyday life experiences,relatable everyday content,0.72,implicit_positive,778150,1775540502,"05:41, 04/07/2026","[""#relatable""]",Chatbot (composing chat messages): copied or referenced part of the response,1.0,similar,"[{""persona_item"": ""Gravitates toward content that mirrors everyday life experiences"", ""type"": ""similar""}]",neutral,train,,
Finds comfort in 'that's so me' style posts,relatable everyday content,0.65,implicit_positive,778150,1775540502,"05:41, 04/07/2026","[""#relatable""]",Chatbot (composing chat messages): copied or referenced part of the response,1.0,similar,"[{""persona_item"": ""Finds comfort in 'that's so me' style posts"", ""type"": ""similar""}]",neutral,train,,
Deeply invested in hair care and styling routines,hair care and styling,0.85,implicit_positive,580291,1775540521,"05:42, 04/07/2026","[""#behindthechair"", ""#hairgoals"", ""#hairstylist"", ""#salonfun"", ""#salonlife"", ""#salonshenanigans""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Deeply invested in hair care and styling routines"", ""type"": ""similar""}]",neutral,train,,
Follows hairstylists and salon professionals,hair care and styling,0.8,implicit_positive,580291,1775540521,"05:42, 04/07/2026","[""#behindthechair"", ""#hairgoals"", ""#hairstylist"", ""#salonfun"", ""#salonlife"", ""#salonshenanigans""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Follows hairstylists and salon professionals"", ""type"": ""similar""}]",neutral,train,,
Interested in protective natural hair styles like braids and weaves,hair care and styling,0.75,implicit_positive,580291,1775540521,"05:42, 04/07/2026","[""#behindthechair"", ""#hairgoals"", ""#hairstylist"", ""#salonfun"", ""#salonlife"", ""#salonshenanigans""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Interested in protective natural hair styles like braids and weaves"", ""type"": ""similar""}]",anti-stereotypical,train,,
Likely wears or appreciates Black hair styling traditions,hair care and styling,0.65,implicit_positive,580291,1775540521,"05:42, 04/07/2026","[""#behindthechair"", ""#hairgoals"", ""#hairstylist"", ""#salonfun"", ""#salonlife"", ""#salonshenanigans""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Likely wears or appreciates Black hair styling traditions"", ""type"": ""similar""}]",anti-stereotypical,train,,
Sees hair styling as a form of self-expression,hair care and styling,0.73,implicit_positive,580291,1775540521,"05:42, 04/07/2026","[""#behindthechair"", ""#hairgoals"", ""#hairstylist"", ""#salonfun"", ""#salonlife"", ""#salonshenanigans""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Sees hair styling as a form of self-expression"", ""type"": ""similar""}]",neutral,train,,
Has or is close to young children and infants,babies and young children,0.76,implicit_positive,580291,1775540521,"05:42, 04/07/2026","[""#kidsofinstagram""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Has or is close to young children and infants"", ""type"": ""similar""}]",neutral,train,,
Finds joy in sharing everyday moments of toddlers,babies and young children,0.65,implicit_positive,580291,1775540521,"05:42, 04/07/2026","[""#kidsofinstagram""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Finds joy in sharing everyday moments of toddlers"", ""type"": ""similar""}]",neutral,train,,
Likely a parent navigating the early-childhood years,babies and young children,0.72,implicit_positive,580291,1775540521,"05:42, 04/07/2026","[""#kidsofinstagram""]",Instagram: viewed more than 75% of the reel,1.0,similar,"[{""persona_item"": ""Likely a parent navigating the early-childhood years"", ""type"": ""similar""}]",neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.83,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#couplelife"", ""#relationshipgoals"", ""#relationshiphumor""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.77,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#couplelife"", ""#relationshipgoals"", ""#relationshiphumor""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.71,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#couplelife"", ""#relationshipgoals"", ""#relationshiphumor""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.7,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#couplelife"", ""#relationshipgoals"", ""#relationshiphumor""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
"Enjoys wholesome, heartwarming feel-good content",heartwarming and feel-good content,0.72,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#love""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Enjoys wholesome, heartwarming feel-good content"", ""type"": ""similar""}]",neutral,train,,
Responds emotionally to touching or inspirational stories,heartwarming and feel-good content,0.58,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#love""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Responds emotionally to touching or inspirational stories"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.8,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#humor""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.78,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#humor""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.62,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#humor""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.6,implicit_positive,197378,1775540538,"05:42, 04/07/2026","[""#humor""]",Chatbot (personal emails): spent significant time reading the response,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.8,implicit_positive,678926,1775540573,"05:42, 04/07/2026","[""#FunnyMoments""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.78,implicit_positive,678926,1775540573,"05:42, 04/07/2026","[""#FunnyMoments""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.62,implicit_positive,678926,1775540573,"05:42, 04/07/2026","[""#FunnyMoments""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.6,implicit_positive,678926,1775540573,"05:42, 04/07/2026","[""#FunnyMoments""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Gravitates toward content that mirrors everyday life experiences,relatable everyday content,0.72,implicit_positive,678926,1775540573,"05:42, 04/07/2026","[""#Relatable""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Gravitates toward content that mirrors everyday life experiences"", ""type"": ""similar""}]",neutral,train,,
Finds comfort in 'that's so me' style posts,relatable everyday content,0.65,implicit_positive,678926,1775540573,"05:42, 04/07/2026","[""#Relatable""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Finds comfort in 'that's so me' style posts"", ""type"": ""similar""}]",neutral,train,,
Spends time scrolling trending short-form video content,viral and trending social content,0.72,implicit_positive,678926,1775540573,"05:42, 04/07/2026","[""#ViralVideo""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Spends time scrolling trending short-form video content"", ""type"": ""similar""}]",neutral,train,,
"Active across Instagram Reels, Threads, and similar platforms",viral and trending social content,0.68,implicit_positive,678926,1775540573,"05:42, 04/07/2026","[""#ViralVideo""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Active across Instagram Reels, Threads, and similar platforms"", ""type"": ""similar""}]",neutral,train,,
Appreciates home decor and interior inspiration,home decor and DIY crafts,0.55,implicit_positive,1006563,1775540573,"05:42, 04/07/2026","[""#homedecor""]",Chatbot (medical consultations): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Appreciates home decor and interior inspiration"", ""type"": ""similar""}]",neutral,train,,
Occasionally interested in DIY and handmade home projects,home decor and DIY crafts,0.48,implicit_positive,1006563,1775540573,"05:42, 04/07/2026","[""#homedecor""]",Chatbot (medical consultations): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Occasionally interested in DIY and handmade home projects"", ""type"": ""similar""}]",neutral,train,,
Looks for cleaning hacks and home-organization tips,home cleaning and organization,0.52,implicit_positive,1006563,1775540573,"05:42, 04/07/2026","[""#cleaninghacks""]",Chatbot (medical consultations): positive response/comments to weak extent in next turn,0.3,similar,"[{""persona_item"": ""Looks for cleaning hacks and home-organization tips"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.8,implicit_positive,1006563,1775540573,"05:42, 04/07/2026","[""#funnyguys""]",Chatbot (medical consultations): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.78,implicit_positive,1006563,1775540573,"05:42, 04/07/2026","[""#funnyguys""]",Chatbot (medical consultations): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.62,implicit_positive,1006563,1775540573,"05:42, 04/07/2026","[""#funnyguys""]",Chatbot (medical consultations): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.6,implicit_positive,1006563,1775540573,"05:42, 04/07/2026","[""#funnyguys""]",Chatbot (medical consultations): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Enjoys beauty and nail-art content,"beauty, nails, and personal style",0.7,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#fashionista""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys beauty and nail-art content"", ""type"": ""similar""}]",stereotypical,train,,
Keeps up with fashion and personal style inspiration,"beauty, nails, and personal style",0.6,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#fashionista""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Keeps up with fashion and personal style inspiration"", ""type"": ""similar""}]",neutral,train,,
"Values presenting a polished, put-together look","beauty, nails, and personal style",0.58,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#fashionista""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values presenting a polished, put-together look"", ""type"": ""similar""}]",neutral,train,,
Deeply invested in hair care and styling routines,hair care and styling,0.8,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#braids""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Deeply invested in hair care and styling routines"", ""type"": ""similar""}]",neutral,train,,
Follows hairstylists and salon professionals,hair care and styling,0.75,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#braids""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows hairstylists and salon professionals"", ""type"": ""similar""}]",neutral,train,,
Interested in protective natural hair styles like braids and weaves,hair care and styling,0.7,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#braids""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Interested in protective natural hair styles like braids and weaves"", ""type"": ""similar""}]",anti-stereotypical,train,,
Likely wears or appreciates Black hair styling traditions,hair care and styling,0.6,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#braids""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Likely wears or appreciates Black hair styling traditions"", ""type"": ""similar""}]",anti-stereotypical,train,,
Sees hair styling as a form of self-expression,hair care and styling,0.68,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#braids""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Sees hair styling as a form of self-expression"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.8,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#humor""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.78,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#humor""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.62,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#humor""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.6,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#humor""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Spends time scrolling trending short-form video content,viral and trending social content,0.72,implicit_positive,670691,1775540584,"05:43, 04/07/2026","[""#trending""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Spends time scrolling trending short-form video content"", ""type"": ""similar""}]",neutral,train,,
